Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Maximum,Error %,Throughput,Received KB/sec,Sent KB/sec
Warmup-10: Create Log API,300,28,28,32,34,38,23,43,0,1.719946796,0.664956514,0.50892957
Load-50: Create Log API,3000,34,29,51,63,81,22,125,0,8.46061864,3.270918681,2.503483836
Stress-100: Create Log API,6000,87,69,165,199,337,22,518,0,16.9299748,6.5452236,5.009553091
Peak-200: Create Log API,12000,8388,8837,9259,9370,9503,41,10089,0.001,22.32221749,8.629017578,6.605109277
BreakPoint-300: Create Log API,18000,12602,13189,13635,13832,14117,38,15013,0.001111111,22.4487887,8.677690591,6.6425615
Warmup-10: Integration API,300,3,4,5,5,6,1,11,0,1.72016376,0.643213578,0.892894899
Load-50: Integration API,3000,3,4,5,5,7,1,36,0,8.468834688,3.166721141,4.393147345
Stress-100: Integration API,6000,3,4,5,5,7,1,65,0,16.94063437,6.334261458,8.771493209
Peak-200: Integration API,12000,3,3,5,5,7,1,54,0,33.88901911,12.67152289,17.53407038
BreakPoint-300: Integration API,18000,3,3,5,5,7,1,136,0,50.83424647,19.00769477,26.33046836
Search-20: Search Logs API,600,14,14,17,18,22,11,42,0,1.718380369,28.50411263,0.372539494
Mixed-30: Create Log API,30,32,30,37,50,60,26,60,0,6.174109899,3.307128203,2.750614195
Mixed-30: Integration API,30,2,2,3,3,3,1,3,0,6.138735421,2.295431438,3.252011075
Mixed-30: Search Logs API,30,13,13,14,16,19,11,19,0,6.138735421,105.1909882,1.330858656
