Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughtput,Received KB/sec,Sent KB?sec,Avg. Bytes
Warmup-10: Create Log API,300,28,23,43,2.994949452,0,1.719946796,0.664956514,0.50892957,395.8933333
Load-50: Create Log API,3000,34,22,125,12.98966256,0,8.46061864,3.270918681,2.503483836,395.8836667
Stress-100: Create Log API,6000,87,22,518,62.65243991,0,16.9299748,6.5452236,5.009553091,395.8841667
Peak-200: Create Log API,12000,8388,41,10089,1524.136448,0.001,22.32221749,8.629017578,6.605109277,395.8439167
BreakPoint-300: Create Log API,18000,12602,38,15013,2122.232791,0.001111111,22.4487887,8.677690591,6.6425615,395.8322778
Warmup-10: Integration API,300,3,1,11,1.002906886,0,1.72016376,0.643213578,0.892894899,382.9
Load-50: Integration API,3000,3,1,36,1.392597533,0,8.468834688,3.166721141,4.393147345,382.9006667
Stress-100: Integration API,6000,3,1,65,1.901002886,0,16.94063437,6.334261458,8.771493209,382.8831667
Peak-200: Integration API,12000,3,1,54,1.592952184,0,33.88901911,12.67152289,17.53407038,382.88625
BreakPoint-300: Integration API,18000,3,1,136,2.712171509,0,50.83424647,19.00769477,26.33046836,382.8891111
Search-20: Search Logs API,600,14,11,42,2.1976629,0,1.718380369,28.50411263,0.372539494,16985.885
Mixed-30: Create Log API,30,32,26,60,7.749121814,0,6.174109899,3.307128203,2.750614195,548.5
Mixed-30: Integration API,30,2,1,3,0.573488351,0,6.138735421,2.295431438,3.252011075,382.9
Mixed-30: Search Logs API,30,13,11,19,1.619670748,0,6.138735421,105.1909882,1.330858656,17546.86667
